Campaign,Type,Product,Channel,Advertiser,Industry,Agency,SFDC OID,Rep_ID,CPA/CPM,Start Date,End Date,CPM Price,Contracted Impressions,Booked Impressions,Delivered Impressions,Contracted Deal,Revised Deal,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01
Protect America: Q1 2012 CPA Campaign,Perf LAL,Perf LAL,Inside,Protect America,FS: Other,Direct,,,CPA,2012-01-23,2012-02-22,20.0,250,,,5000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451.61290322581,3548.38709677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protect America: September 2012 CPA,Perf LAL,Perf LAL,Inside,Protect America,FS: Other,Direct,,,CPA,2012-09-05,2012-09-30,20.0,500,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Publisher Clearing House: PCH Subscription Group,Perf LAL,Perf LAL,Inside,Publisher Clearing House,FS: Other,Publisher Clearing House,,,CPM,2011-05-01,2011-06-15,4.0,6250000,,,25000.0,25000.0,0,0,0,0,0,0,0,0,16847.8260869565,8152.17391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchasers Lookalike CPA Campaign: May 2012,Perf LAL,Perf LAL,Inside,DasCheap,Retail,Direct,,,CPA,2012-05-01,2012-05-31,4.0,2500,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qantas Airways Renewal - Q2 2011,Perf LAL,Perf LAL,Inside,Qantas,Travel,"Mendelsohn Zien, LLC",,,CPM,2011-03-20,2011-06-30,4.5,7222222,,,32500.0,32500.0,0,0,0,0,0,0,3786.40776699029,9466.01941747573,9781.55339805825,9466.01941747573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qantas Airways: July-June 2012 Renewal **CANCELLED**,Perf LAL,Perf LAL,Inside,Qantas,Travel,"Mendelsohn Zien, LLC",,,CPM,2011-07-01,2012-06-30,4.5,31555556,,,20000.0,156109.6,0,0,0,0,0,0,0,0,0,0,12027.3224043716,12027.3224043716,11639.3442622951,12027.3224043716,11639.3442622951,12027.3224043716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qantas Airways: Travel New Zealand,Perf LAL,Perf LAL,Inside,Qantas,Travel,"Mendelsohn Zien, LLC",,,CPM,2011-06-01,2011-06-30,4.5,3777778,,,12000.0,17000.0,0,0,0,0,0,0,0,0,0,17000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Questia Free Trial Nov - Dec 2012,Perf LAL,Perf LAL,Inside,Questia (Cengage Learning),Education,Direct,12460,,CPA,2012-11-01,2012-12-31,75.0,333,,,9975.0,9975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4905.73770491803,5069.26229508197,0,0,0,0,0,0,0,0,0,0,0,0
Quibids: Acquisition Test - May 2011,Perf LAL,Perf LAL,Inside,QuiBids ,FS: Other,Direct,,,CPM,2011-05-04,2011-06-01,3.0,5000000,,,15000.0,15000.0,0,0,0,0,0,0,0,0,14482.7586206897,517.241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radian6 - Whitepaper Downloads,Perf LAL,Perf LAL,Inside,Radian6 (SalesForce),Software,Radian6 (Salesforce),,,CPM,2011-11-28,2011-12-27,3.0,3333333,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAF Recruitment - Aug-Oct 2011,Perf LAL,Perf LAL,Direct UK,RAF,FS: Other,Xaxis,0,,CPM,2011-08-15,2011-10-02,1.45,11695322,,,16999.15,16999.1510515,0,0,0,0,0,0,0,0,0,0,0,9174.11224711702,16189.6098478536,1079.30732319024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
